population,micro_code,micro_name,longitude,latitude
118552.0,25004,Patos,-37.31970958644558,-7.016489449810842
71505.0,25005,Piancó,-37.89498503441156,-7.183527019006076
83047.0,25006,Itaporanga,-38.35056572951939,-7.471453423072557
108396.0,25007,Serra do Teixeira,-37.75670319737894,-7.506118348866597
36861.0,25008,Seridó Ocidental Paraibano,-36.94918839889026,-6.921396792237248
67596.0,25009,Seridó Oriental Paraibano,-36.429932921591,-6.7371958865502055
113367.0,25010,Cariri Ocidental,-36.87821183727641,-7.71826006989834
60172.0,25011,Cariri Oriental,-36.31804291024309,-7.540528630272948
107846.0,25012,Curimataú Ocidental,-36.108093361269326,-6.85472343738114
93594.0,25013,Curimataú Oriental,-35.693556509243365,-6.613497164929619
48398.0,25014,Esperança,-35.89061944118022,-6.999362163389129
118086.0,25015,Brejo Paraibano,-35.63689446962321,-6.927897163658199
159345.0,25016,Guarabira,-35.43166668075875,-6.829114696294599
467237.0,25017,Campina Grande,-35.96597903630644,-7.288793316009952
106487.0,25018,Itabaiana,-35.49586278309714,-7.279869995401856
54233.0,25019,Umbuzeiro,-35.73815700713567,-7.592545082358708
130118.0,25020,Litoral Norte,-35.13796480026275,-6.72828646318386
123889.0,25021,Sapé,-35.223628670666045,-7.147054878658237
885384.0,25022,João Pessoa,-34.95018810766038,-7.109289297758956
75463.0,25023,Litoral Sul,-34.98068524225544,-7.381823529910464
280201.0,26001,Araripina,-40.138175130272025,-7.796897223746156
152558.0,26002,Salgueiro,-39.24914946107596,-8.029358299794586
297330.0,26003,Pajeú,-37.84170505072698,-7.825806056750378
185784.0,26004,Sertão do Moxotó,-37.60026454118119,-8.412407767764279
358104.0,26005,Petrolina,-40.2456131788054,-8.707960365138115
117480.0,26006,Itaparica,-38.46493325541362,-8.667734224438213
162648.0,26007,Vale do Ipanema,-37.1159996897431,-8.800917335400769
752329.0,26008,Vale do Ipojuca,-36.2990736052908,-8.279087256600347
216626.0,26009,Alto Capibaribe,-36.01308331603397,-7.87359367304286
252975.0,26010,Médio Capibaribe,-35.557262943129935,-7.886083176524931
416234.0,26011,Garanhuns,-36.53422597640286,-8.985538347624798
211712.0,26012,Brejo Pernambucano,-35.9195554096544,-8.51742068297595
506492.0,26013,Mata Setentrional Pernambucana,-35.192894559604255,-7.646876292068142
200017.0,26014,Vitória de Santo Antão,-35.33540767120264,-8.12628740161809
508874.0,26015,Mata Meridional Pernambucana,-35.482561776286786,-8.639937957471304
135954.0,26016,Itamaracá,-34.96027091500475,-7.796301025136684
3033864.0,26017,Recife,-35.020443998449466,-8.046796251775094
216929.0,26018,Suape,-35.086284540266824,-8.359926183750309
2096.0,26019,Fernando de Noronha,-32.42729019952227,-3.857234994483278
87869.0,27001,Serrana do Sertão Alagoano,-37.75440641985697,-9.160915020270968
71060.0,27002,Alagoana do Sertão do São Francisco,-37.89460704100973,-9.445955465350355
166636.0,27003,Santana do Ipanema,-37.39205623976886,-9.438631448286245
88932.0,27004,Batalha,-37.13011243823176,-9.634643538879146
175830.0,27005,Palmeira dos Índios,-36.61701766597015,-9.436816862547252
374824.0,27006,Arapiraca,-36.66467956875161,-9.783182412768811
35010.0,27007,Traipu,-36.9308161284435,-9.94783805275126
143357.0,27008,Serrana dos Quilombos,-36.11101278669358,-9.153261206574166
282234.0,27009,Mata Alagoana,-35.78471394643756,-9.196627211542625
59287.0,27010,Litoral Norte Alagoano,-35.360303326781306,-9.09987263121825
1000524.0,27011,Maceió,-35.81169974803152,-9.563943829837726
252820.0,27012,São Miguel dos Campos,-36.22585323978058,-9.906658355783982
118246.0,27013,Penedo,-36.53320702281788,-10.21840014649776
137687.0,28001,Sergipana do Sertão do São Francisco,-37.55118763078725,-9.960152138633225
62108.0,28002,Carira,-37.609811990841344,-10.444670115219626
58658.0,28003,Nossa Senhora das Dores,-37.164682612048345,-10.375315073321604
146848.0,28004,Agreste de Itabaiana,-37.44120446644787,-10.707835552343784
101416.0,28005,Tobias Barreto,-37.98478764199553,-10.91421285513749
104028.0,28006,Agreste de Lagarto,-37.71353393369576,-10.947697186656104
88837.0,28007,Propriá,-36.76429425707931,-10.283639472347826
40537.0,28008,Cotinguiba,-37.08859529741763,-10.532526207443874
49729.0,28009,Japaratuba,-36.78711840301926,-10.511474333344356
78078.0,28010,Baixo Cotinguiba,-37.0752233869346,-10.749224638021715
692048.0,28011,Aracaju,-37.15496948256027,-10.937742423813331
144457.0,28012,Boquim,-37.70566160524593,-11.27172782517404
112870.0,28013,Estância,-37.40701836686507,-11.228411833857445
210919.0,29001,Barreiras,-45.50937526247444,-11.94365563979212
110650.0,29002,Cotegipe,-44.24890722729803,-11.639365521480302
178948.0,29003,Santa Maria da Vitória,-45.08758583371694,-13.821474091050154
415162.0,29004,Juazeiro,-41.615201955087656,-9.694113731875628
151810.0,29005,Paulo Afonso,-38.84300043640117,-9.219756869864872
160628.0,29006,Barra,-43.12532939206236,-11.14695424676489
